# Force and moment coefficients
# dragDir       : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# sideDir       : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# liftDir       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# rollAxis      : (9.98814648e-01 0.00000000e+00 4.86754399e-02)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 -0.00000000e+00)
# yawAxis       : (-4.86754399e-02 0.00000000e+00 9.98814648e-01)
# magUInf       : 2.49796991e+02
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e-03
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
47              	3.24608299e-02	1.62304149e-02	1.62304149e-02	4.52897460e-01	9.42134042e-02	3.58684056e-01	-1.32235326e-01	8.22610796e-21	-1.13780643e-19	1.08171322e-19	-5.96949817e-20	1.67866303e-19
48              	3.23914875e-02	1.61957438e-02	1.61957438e-02	4.57296629e-01	9.62659923e-02	3.61030636e-01	-1.32382322e-01	8.10353425e-21	-1.14091333e-19	1.06113004e-19	-6.10348313e-20	1.67147835e-19
49              	3.23798922e-02	1.61899461e-02	1.61899461e-02	4.61681600e-01	9.83054735e-02	3.63376127e-01	-1.32535327e-01	7.98942973e-21	-1.14349159e-19	1.04275726e-19	-6.22112961e-20	1.66487022e-19
50              	3.24180468e-02	1.62090234e-02	1.62090234e-02	4.66029198e-01	1.00328507e-01	3.65700690e-01	-1.32686091e-01	7.88946890e-21	-1.14545394e-19	1.02692730e-19	-6.31990286e-20	1.65891759e-19
51              	3.24964796e-02	1.62482398e-02	1.62482398e-02	4.70477626e-01	1.02367522e-01	3.68110105e-01	-1.32871291e-01	7.80146203e-21	-1.14661218e-19	1.01337050e-19	-6.39926928e-20	1.65329743e-19
52              	3.26087522e-02	1.63043761e-02	1.63043761e-02	4.74983077e-01	1.04416081e-01	3.70566996e-01	-1.33075458e-01	7.73010259e-21	-1.14725067e-19	1.00196770e-19	-6.46266820e-20	1.64823452e-19
53              	3.27444529e-02	1.63722265e-02	1.63722265e-02	4.79588605e-01	1.06495712e-01	3.73092894e-01	-1.33298591e-01	7.67474333e-21	-1.14688017e-19	9.92814633e-20	-6.50472854e-20	1.64328749e-19
54              	3.29095050e-02	1.64547525e-02	1.64547525e-02	4.84293121e-01	1.08602406e-01	3.75690716e-01	-1.33544155e-01	7.63294246e-21	-1.14625283e-19	9.84868480e-20	-6.53818593e-20	1.63868707e-19
55              	3.30935802e-02	1.65467901e-02	1.65467901e-02	4.89116028e-01	1.10754536e-01	3.78361491e-01	-1.33803478e-01	7.60493615e-21	-1.14488605e-19	9.78222026e-20	-6.55775039e-20	1.63399707e-19
56              	3.32942641e-02	1.66471321e-02	1.66471321e-02	4.94061161e-01	1.12952535e-01	3.81108626e-01	-1.34078046e-01	7.59000672e-21	-1.14283542e-19	9.72724751e-20	-6.56473048e-20	1.62919780e-19
57              	3.35139113e-02	1.67569557e-02	1.67569557e-02	4.99083593e-01	1.15191135e-01	3.83892458e-01	-1.34350662e-01	7.58617682e-21	-1.14018120e-19	9.68170121e-20	-6.56096139e-20	1.62426626e-19
58              	3.37526258e-02	1.68763129e-02	1.68763129e-02	5.04177835e-01	1.17479172e-01	3.86698663e-01	-1.34609746e-01	7.59037506e-21	-1.13715671e-19	9.63845177e-20	-6.55234125e-20	1.61907930e-19
59              	3.40003213e-02	1.70001607e-02	1.70001607e-02	5.09298485e-01	1.19817544e-01	3.89480941e-01	-1.34831698e-01	7.60526424e-21	-1.13316781e-19	9.60581177e-20	-6.52877219e-20	1.61345840e-19
60              	3.42787016e-02	1.71393508e-02	1.71393508e-02	5.14472462e-01	1.22197822e-01	3.92274640e-01	-1.35038409e-01	7.61883250e-21	-1.12973770e-19	9.55917558e-20	-6.51778919e-20	1.60769648e-19
61              	3.45675280e-02	1.72837640e-02	1.72837640e-02	5.19640881e-01	1.24624298e-01	3.95016583e-01	-1.35196143e-01	7.64111377e-21	-1.12538975e-19	9.51919939e-20	-6.49429781e-20	1.60134972e-19
62              	3.48893612e-02	1.74446806e-02	1.74446806e-02	5.24826267e-01	1.27088325e-01	3.97737941e-01	-1.35324808e-01	7.65870806e-21	-1.12168194e-19	9.46170871e-20	-6.48596502e-20	1.59476737e-19
63              	3.52276001e-02	1.76138001e-02	1.76138001e-02	5.29943893e-01	1.29578946e-01	4.00364948e-01	-1.35393001e-01	7.68269159e-21	-1.11712465e-19	9.41077782e-20	-6.46585758e-20	1.58766354e-19
64              	3.55992784e-02	1.77996392e-02	1.77996392e-02	5.35010506e-01	1.32090544e-01	4.02919962e-01	-1.35414709e-01	7.69994536e-21	-1.11324043e-19	9.34177640e-20	-6.46151606e-20	1.58032925e-19
65              	3.59902985e-02	1.79951492e-02	1.79951492e-02	5.39964771e-01	1.34611895e-01	4.05352876e-01	-1.35370491e-01	7.72133789e-21	-1.10873711e-19	9.27675709e-20	-6.44899251e-20	1.57257496e-19
66              	3.64115473e-02	1.82057737e-02	1.82057737e-02	5.44817228e-01	1.37140599e-01	4.07676629e-01	-1.35268015e-01	7.73489537e-21	-1.10491672e-19	9.19411544e-20	-6.45210946e-20	1.56462249e-19
67              	3.68531969e-02	1.84265985e-02	1.84265985e-02	5.49515696e-01	1.39657258e-01	4.09858438e-01	-1.35100590e-01	7.75097693e-21	-1.10063250e-19	9.11442737e-20	-6.44911131e-20	1.55635387e-19
68              	3.73173421e-02	1.86586710e-02	1.86586710e-02	5.54059223e-01	1.42162484e-01	4.11896739e-01	-1.34867127e-01	7.75988962e-21	-1.09691800e-19	9.02008738e-20	-6.45913632e-20	1.54792237e-19
69              	3.77976711e-02	1.88988355e-02	1.88988355e-02	5.58394330e-01	1.44627772e-01	4.13766557e-01	-1.34569392e-01	7.77072792e-21	-1.09288728e-19	8.92795459e-20	-6.46489547e-20	1.53928501e-19
70              	3.82896798e-02	1.91448399e-02	1.91448399e-02	5.62563153e-01	1.47065934e-01	4.15497219e-01	-1.34215642e-01	7.77551426e-21	-1.08926991e-19	8.82468306e-20	-6.48035755e-20	1.53050406e-19
71              	3.87911874e-02	1.93955937e-02	1.93955937e-02	5.66519001e-01	1.49442589e-01	4.17076412e-01	-1.33816911e-01	7.78210237e-21	-1.08545470e-19	8.72325789e-20	-6.49291805e-20	1.52161759e-19
72              	3.92886594e-02	1.96443297e-02	1.96443297e-02	5.70270176e-01	1.51769436e-01	4.18500740e-01	-1.33365652e-01	7.78481811e-21	-1.08185729e-19	8.61473390e-20	-6.51120591e-20	1.51259398e-19
73              	3.97840750e-02	1.98920375e-02	1.98920375e-02	5.73801423e-01	1.54010871e-01	4.19790552e-01	-1.32889841e-01	7.78936567e-21	-1.07819146e-19	8.50717873e-20	-6.52832524e-20	1.50355040e-19
74              	4.02593334e-02	2.01296667e-02	2.01296667e-02	5.77156927e-01	1.56191495e-01	4.20965432e-01	-1.32386969e-01	7.79210232e-21	-1.07455023e-19	8.39659139e-20	-6.54720661e-20	1.49437980e-19
75              	4.07186895e-02	2.03593448e-02	2.03593448e-02	5.80297348e-01	1.58266808e-01	4.22030540e-01	-1.31881866e-01	7.79731989e-21	-1.07094151e-19	8.28647833e-20	-6.56617596e-20	1.48526543e-19
76              	4.11410485e-02	2.05705243e-02	2.05705243e-02	5.83276777e-01	1.60268515e-01	4.23008262e-01	-1.31369873e-01	7.80271852e-21	-1.06719069e-19	8.17681322e-20	-6.58350029e-20	1.47603135e-19
77              	4.15336614e-02	2.07668307e-02	2.07668307e-02	5.86078386e-01	1.62154542e-01	4.23923844e-01	-1.30884651e-01	7.81097107e-21	-1.06355896e-19	8.06692751e-20	-6.60212584e-20	1.46690533e-19
78              	4.18744290e-02	2.09372145e-02	2.09372145e-02	5.88756383e-01	1.63962053e-01	4.24794330e-01	-1.30416138e-01	7.82124565e-21	-1.05964276e-19	7.96045779e-20	-6.61619873e-20	1.45766565e-19
79              	4.21720077e-02	2.10860039e-02	2.10860039e-02	5.91281455e-01	1.65644274e-01	4.25637181e-01	-1.29996454e-01	7.83494849e-21	-1.05588814e-19	7.85373524e-20	-6.63201380e-20	1.44857490e-19
80              	4.24064844e-02	2.12032422e-02	2.12032422e-02	5.93729908e-01	1.67246979e-01	4.26482928e-01	-1.29617974e-01	7.85190465e-21	-1.05177191e-19	7.75262832e-20	-6.64140497e-20	1.43940333e-19
81              	4.25896299e-02	2.12948150e-02	2.12948150e-02	5.96087369e-01	1.68729933e-01	4.27357435e-01	-1.29313751e-01	7.87240044e-21	-1.04785860e-19	7.65139677e-20	-6.65288764e-20	1.43042844e-19
82              	4.27009905e-02	2.13504953e-02	2.13504953e-02	5.98392318e-01	1.70132816e-01	4.28259502e-01	-1.29063343e-01	7.89725088e-21	-1.04353538e-19	7.55736075e-20	-6.65667343e-20	1.42140342e-19
83              	4.27582093e-02	2.13791047e-02	2.13791047e-02	6.00681966e-01	1.71432075e-01	4.29249891e-01	-1.28908908e-01	7.92521060e-21	-1.03945245e-19	7.46318308e-20	-6.66293296e-20	1.41261160e-19
84              	4.27420821e-02	2.13710410e-02	2.13710410e-02	6.02967210e-01	1.72661998e-01	4.30305211e-01	-1.28821606e-01	7.95795410e-21	-1.03495888e-19	7.37730421e-20	-6.66093671e-20	1.40382409e-19
85              	4.26717495e-02	2.13358748e-02	2.13358748e-02	6.05274463e-01	1.73803730e-01	4.31470733e-01	-1.28833501e-01	7.99328333e-21	-1.03074851e-19	7.29097981e-20	-6.66199516e-20	1.39529750e-19
86              	4.25322552e-02	2.12661276e-02	2.12661276e-02	6.07626733e-01	1.74891802e-01	4.32734930e-01	-1.28921564e-01	8.03302091e-21	-1.02617792e-19	7.21334501e-20	-6.65510670e-20	1.38684517e-19
87              	4.23429495e-02	2.11714748e-02	2.11714748e-02	6.10024018e-01	1.75908920e-01	4.34115098e-01	-1.29103089e-01	8.07464458e-21	-1.02192507e-19	7.13525014e-20	-6.65162567e-20	1.37868758e-19
