name,x_m,Cf_run,Cf_ref,abs_error,rel_error,within_tolerance
skin_friction_coefficient,1.592568e+00,2.465067e-03,2.510407e-03,4.534081e-05,1.806113e-02,true
skin_friction_coefficient,1.604730e+00,2.462378e-03,2.507807e-03,4.542925e-05,1.811513e-02,true
skin_friction_coefficient,1.616892e+00,2.459711e-03,2.505231e-03,4.551981e-05,1.816990e-02,true
skin_friction_coefficient,1.629054e+00,2.457044e-03,2.502678e-03,4.563385e-05,1.823401e-02,true
skin_friction_coefficient,1.641216e+00,2.454422e-03,2.500150e-03,4.572759e-05,1.828994e-02,true
skin_friction_coefficient,1.653378e+00,2.451844e-03,2.497646e-03,4.580132e-05,1.833780e-02,true
skin_friction_coefficient,1.665541e+00,2.449289e-03,2.495166e-03,4.587726e-05,1.838645e-02,true
skin_friction_coefficient,1.677703e+00,2.446756e-03,2.492711e-03,4.595498e-05,1.843575e-02,true
skin_friction_coefficient,1.689865e+00,2.444244e-03,2.490281e-03,4.603660e-05,1.848651e-02,true
skin_friction_coefficient,1.702027e+00,2.441756e-03,2.487875e-03,4.611983e-05,1.853784e-02,true
skin_friction_coefficient,1.714189e+00,2.439289e-03,2.485493e-03,4.620458e-05,1.858970e-02,true
skin_friction_coefficient,1.726351e+00,2.436844e-03,2.483135e-03,4.629068e-05,1.864203e-02,true
skin_friction_coefficient,1.738514e+00,2.434422e-03,2.480800e-03,4.637780e-05,1.869470e-02,true
skin_friction_coefficient,1.750676e+00,2.432022e-03,2.478489e-03,4.646642e-05,1.874788e-02,true
skin_friction_coefficient,1.762838e+00,2.429644e-03,2.476201e-03,4.655695e-05,1.880176e-02,true
skin_friction_coefficient,1.775000e+00,2.427289e-03,2.473940e-03,4.665066e-05,1.885683e-02,true
skin_friction_coefficient,1.787162e+00,2.424933e-03,2.471704e-03,4.677106e-05,1.892260e-02,true
skin_friction_coefficient,1.799324e+00,2.422622e-03,2.469495e-03,4.687266e-05,1.898067e-02,true
skin_friction_coefficient,1.811486e+00,2.420333e-03,2.467312e-03,4.697827e-05,1.904027e-02,true
skin_friction_coefficient,1.823649e+00,2.418044e-03,2.465156e-03,4.711168e-05,1.911103e-02,true
skin_friction_coefficient,1.835811e+00,2.415800e-03,2.463030e-03,4.722974e-05,1.917547e-02,true
skin_friction_coefficient,1.847973e+00,2.413556e-03,2.460934e-03,4.737894e-05,1.925242e-02,true
skin_friction_coefficient,1.860135e+00,2.411333e-03,2.458873e-03,4.753929e-05,1.933378e-02,true
skin_friction_coefficient,1.872297e+00,2.409133e-03,2.456851e-03,4.771800e-05,1.942242e-02,true
skin_friction_coefficient,1.884459e+00,2.406956e-03,2.454873e-03,4.791770e-05,1.951942e-02,true
skin_friction_coefficient,1.896622e+00,2.404778e-03,2.452944e-03,4.816606e-05,1.963602e-02,true
skin_friction_coefficient,1.908784e+00,2.402600e-03,2.451071e-03,4.847072e-05,1.977532e-02,true
skin_friction_coefficient,1.920946e+00,2.400444e-03,2.449266e-03,4.882127e-05,1.993302e-02,true
skin_friction_coefficient,1.933108e+00,2.398333e-03,2.447555e-03,4.922158e-05,2.011051e-02,true
skin_friction_coefficient,1.945270e+00,2.396089e-03,2.445983e-03,4.989447e-05,2.039853e-02,true
skin_friction_coefficient,1.957432e+00,2.394222e-03,2.444649e-03,5.042657e-05,2.062733e-02,true
skin_friction_coefficient,1.969595e+00,2.391400e-03,2.443558e-03,5.215804e-05,2.134512e-02,true
skin_friction_coefficient,1.981757e+00,2.390822e-03,2.442654e-03,5.183183e-05,2.121947e-02,true
