name,x_m,value,units,source
skin_friction_coefficient,1.592568e+00,2.479556e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.604730e+00,2.476822e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.616892e+00,2.474156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.629054e+00,2.471489e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.641216e+00,2.468867e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.653378e+00,2.466244e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.665541e+00,2.463667e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.677703e+00,2.461133e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.689865e+00,2.458600e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.702027e+00,2.456089e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.714189e+00,2.453600e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.726351e+00,2.451156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.738514e+00,2.448711e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.750676e+00,2.446289e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.762838e+00,2.443889e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.775000e+00,2.441511e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.787162e+00,2.439156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.799324e+00,2.436822e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.811486e+00,2.434489e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.823649e+00,2.432200e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.835811e+00,2.429889e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.847973e+00,2.427644e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.860135e+00,2.425378e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.872297e+00,2.423156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.884459e+00,2.420911e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.896622e+00,2.418711e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.908784e+00,2.416511e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.920946e+00,2.414311e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.933108e+00,2.412156e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.945270e+00,2.409844e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.957432e+00,2.407956e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.969595e+00,2.405089e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.981757e+00,2.404467e-03,dimensionless,openfoam_wallShearStress
skin_friction_coefficient,1.993919e+00,2.400644e-03,dimensionless,openfoam_wallShearStress
drag_force,,N/A (scalar extraction not yet implemented),N,phase1_pending
