# Force and moment coefficients
# dragDir       : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# rollAxis      : (9.51055966e-01 3.09018689e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-3.09018689e-01 9.51055966e-01 0.00000000e+00)
# magUInf       : 4.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
3200            	2.38360277e-01	1.19189762e-01	1.19170515e-01	1.10621574e+00	5.25774174e-01	5.80441566e-01	-2.73336960e-02	9.62314464e-06	1.46171312e-05	2.27544163e-05	2.59943393e-05	-3.23992302e-06
3250            	2.38348359e-01	1.19178329e-01	1.19170031e-01	1.10625919e+00	5.25833922e-01	5.80425267e-01	-2.72956727e-02	4.14904191e-06	-3.74662267e-06	-3.83527705e-06	-5.66426119e-06	1.82898415e-06
3300            	2.38354781e-01	1.19176793e-01	1.19177988e-01	1.10624652e+00	5.25812258e-01	5.80434261e-01	-2.73110015e-02	-5.97419073e-07	-2.10920149e-05	-2.98045281e-05	-3.59942789e-05	6.18975087e-06
3350            	2.38359037e-01	1.19189469e-01	1.19169568e-01	1.10620499e+00	5.25771262e-01	5.80433726e-01	-2.73312321e-02	9.95040903e-06	1.55211246e-05	2.33303121e-05	2.71862806e-05	-3.85596849e-06
3400            	2.38365962e-01	1.19187901e-01	1.19178061e-01	1.10623020e+00	5.25779109e-01	5.80451090e-01	-2.73359908e-02	4.92008259e-06	-4.38299137e-06	-4.35544399e-06	-6.56071336e-06	2.20526937e-06
3450            	2.38365482e-01	1.19182025e-01	1.19183457e-01	1.10630986e+00	5.25837533e-01	5.80472331e-01	-2.73173987e-02	-7.16279525e-07	-2.14902837e-05	-3.07010447e-05	-3.68408060e-05	6.13976128e-06
3500            	2.38330553e-01	1.19175716e-01	1.19154838e-01	1.10643047e+00	5.25960730e-01	5.80469743e-01	-2.72545064e-02	1.04389612e-05	1.57818298e-05	2.40915376e-05	2.78275985e-05	-3.73606098e-06
3550            	2.38374943e-01	1.19192227e-01	1.19182716e-01	1.10625301e+00	5.25776868e-01	5.80476138e-01	-2.73496350e-02	4.75512250e-06	-4.59182058e-06	-5.64645601e-06	-7.41504859e-06	1.76859258e-06
3600            	2.38339890e-01	1.19168614e-01	1.19171276e-01	1.10617094e+00	5.25792180e-01	5.80378760e-01	-2.72932897e-02	-1.33129862e-06	-2.23415552e-05	-3.18151450e-05	-3.82491277e-05	6.43398268e-06
3650            	2.38355587e-01	1.19188212e-01	1.19167374e-01	1.10632558e+00	5.25858867e-01	5.80466709e-01	-2.73039212e-02	1.04190078e-05	1.54902914e-05	2.29452736e-05	2.69629282e-05	-4.01765461e-06
3700            	2.38384283e-01	1.19196447e-01	1.19187836e-01	1.10622239e+00	5.25748563e-01	5.80473823e-01	-2.73626297e-02	4.30554973e-06	-4.12910363e-06	-5.29206699e-06	-6.77513713e-06	1.48307014e-06
3750            	2.38323893e-01	1.19160528e-01	1.19163365e-01	1.10617365e+00	5.25815526e-01	5.80358126e-01	-2.72713002e-02	-1.41862384e-06	-2.32063400e-05	-3.39239978e-05	-4.01683389e-05	6.24434103e-06
3800            	2.38354470e-01	1.19187870e-01	1.19166600e-01	1.10628612e+00	5.25823862e-01	5.80462261e-01	-2.73191993e-02	1.06350323e-05	1.59697988e-05	2.40943179e-05	2.80169578e-05	-3.92263986e-06
3850            	2.38357885e-01	1.19183928e-01	1.19173957e-01	1.10629399e+00	5.25846631e-01	5.80447358e-01	-2.73003635e-02	4.98519192e-06	-3.87769158e-06	-4.76185720e-06	-6.25862019e-06	1.49676298e-06
