# Region type : patch farfield
# Faces         : 1280
# Area          : 4.29356266e-01
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)	areaAverage(T)	areaAverage(U)
251             	3.84641486e+04	2.88140162e+02	(2.48951635e+02 -7.53301156e-16 1.15867968e+01)
252             	3.84596194e+04	2.88144684e+02	(2.48919620e+02 -7.53270846e-16 1.15839325e+01)
253             	3.84552551e+04	2.88149224e+02	(2.48888895e+02 -7.53261500e-16 1.15811205e+01)
254             	3.84510624e+04	2.88153609e+02	(2.48859624e+02 -7.53290874e-16 1.15785481e+01)
255             	3.84470700e+04	2.88158181e+02	(2.48831940e+02 -7.53340557e-16 1.15760261e+01)
256             	3.84432716e+04	2.88162780e+02	(2.48805745e+02 -7.53394466e-16 1.15735457e+01)
257             	3.84396825e+04	2.88167098e+02	(2.48781222e+02 -7.53426958e-16 1.15713149e+01)
258             	3.84363146e+04	2.88171618e+02	(2.48758311e+02 -7.53465327e-16 1.15691716e+01)
259             	3.84331647e+04	2.88176131e+02	(2.48736899e+02 -7.53519368e-16 1.15670946e+01)
260             	3.84302560e+04	2.88180275e+02	(2.48717159e+02 -7.53577056e-16 1.15652943e+01)
261             	3.84275974e+04	2.88184588e+02	(2.48699030e+02 -7.53648726e-16 1.15635963e+01)
262             	3.84251774e+04	2.88188857e+02	(2.48682446e+02 -7.53712358e-16 1.15619518e+01)
263             	3.84230242e+04	2.88192760e+02	(2.48667583e+02 -7.53734321e-16 1.15605561e+01)
264             	3.84211430e+04	2.88196793e+02	(2.48654364e+02 -7.53753854e-16 1.15592463e+01)
265             	3.84195124e+04	2.88200763e+02	(2.48642845e+02 -7.53776620e-16 1.15579652e+01)
266             	3.84181657e+04	2.88204414e+02	(2.48633213e+02 -7.53795891e-16 1.15568937e+01)
267             	3.84170964e+04	2.88208155e+02	(2.48625296e+02 -7.53823684e-16 1.15558692e+01)
