# Residuals   
# Time        	Ux            	Uy            	p             	k             	omega         
167           	2.484282e-03	1.236712e-02	7.892598e-03	2.144113e-03	8.274088e-04
168           	2.477373e-03	1.232892e-02	6.950504e-03	2.072078e-03	8.273624e-04
169           	2.469882e-03	1.220074e-02	6.339493e-03	2.001548e-03	8.270806e-04
170           	2.461913e-03	1.213428e-02	6.769085e-03	1.932500e-03	8.265796e-04
171           	2.453681e-03	1.222318e-02	1.022768e-02	1.864172e-03	8.258893e-04
172           	2.445324e-03	1.231743e-02	1.318224e-02	1.803376e-03	8.250429e-04
173           	2.436498e-03	1.250152e-02	1.251662e-02	1.751714e-03	8.204876e-04
174           	2.427442e-03	1.251772e-02	1.227064e-02	1.710650e-03	8.161171e-04
175           	2.418117e-03	1.230306e-02	1.146056e-02	1.678286e-03	8.118352e-04
176           	2.408455e-03	1.220688e-02	9.681517e-03	1.650716e-03	8.075846e-04
177           	2.398439e-03	1.221434e-02	9.490785e-03	1.627576e-03	8.033316e-04
178           	2.388083e-03	1.223509e-02	1.079785e-02	1.607229e-03	7.990582e-04
179           	2.377403e-03	1.234248e-02	1.064831e-02	1.587184e-03	7.947449e-04
180           	2.366417e-03	1.250386e-02	9.916048e-03	1.571560e-03	7.903724e-04
181           	2.355264e-03	1.251856e-02	1.158496e-02	1.555885e-03	7.859484e-04
182           	2.344091e-03	1.243573e-02	1.312774e-02	1.537188e-03	7.814789e-04
183           	2.332746e-03	1.247728e-02	1.141139e-02	1.518243e-03	7.769519e-04
184           	2.320929e-03	1.261043e-02	1.018075e-02	1.501486e-03	7.721816e-04
185           	2.308545e-03	1.256142e-02	9.252252e-03	1.488974e-03	7.672958e-04
186           	2.295688e-03	1.241920e-02	8.068316e-03	1.478338e-03	7.621807e-04
187           	2.282462e-03	1.231702e-02	7.276830e-03	1.468313e-03	7.569886e-04
188           	2.268980e-03	1.238225e-02	1.003533e-02	1.458256e-03	7.517635e-04
189           	2.255160e-03	1.238343e-02	1.448069e-02	1.446551e-03	7.465359e-04
