x_m,p_kinematic_m2_s2
3.865000e-01,-1.563784e-16
3.875000e-01,-1.538157e-16
3.885000e-01,-1.532187e-16
3.895000e-01,-1.528240e-16
3.905000e-01,-1.511375e-16
3.915000e-01,-1.501995e-16
3.925000e-01,-1.502788e-16
3.935000e-01,-1.495399e-16
3.945000e-01,-1.477880e-16
3.955000e-01,-1.460473e-16
3.965000e-01,-1.448334e-16
3.975000e-01,-1.439797e-16
3.985000e-01,-1.426315e-16
3.995000e-01,-1.412128e-16
4.005000e-01,-1.403403e-16
4.015000e-01,-1.388422e-16
4.025000e-01,-1.367901e-16
4.035000e-01,-1.358030e-16
4.045000e-01,-1.358312e-16
4.055000e-01,-1.350007e-16
4.065000e-01,-1.330091e-16
4.075000e-01,-1.317481e-16
4.085000e-01,-1.311256e-16
4.095000e-01,-1.297245e-16
4.105000e-01,-1.283245e-16
4.115000e-01,-1.271801e-16
4.125000e-01,-1.256565e-16
4.135000e-01,-1.248952e-16
4.145000e-01,-1.246712e-16
4.155000e-01,-1.237349e-16
4.165000e-01,-1.234087e-16
4.175000e-01,-1.239911e-16
4.185000e-01,-1.235584e-16
4.195000e-01,-1.217003e-16
4.205000e-01,-1.198508e-16
4.215000e-01,-1.185502e-16
4.225000e-01,-1.170535e-16
4.235000e-01,-1.155596e-16
4.245000e-01,-1.141826e-16
4.255000e-01,-1.125906e-16
4.265000e-01,-1.114165e-16
4.275000e-01,-1.109595e-16
4.285000e-01,-1.103821e-16
4.295000e-01,-1.088838e-16
4.305000e-01,-1.070015e-16
4.315000e-01,-1.053895e-16
4.325000e-01,-1.036877e-16
4.335000e-01,-1.020278e-16
4.345000e-01,-1.004144e-16
4.355000e-01,-9.822609e-17
4.365000e-01,-9.601581e-17
4.375000e-01,-9.459160e-17
4.385000e-01,-9.308094e-17
4.395000e-01,-9.111372e-17
4.405000e-01,-9.025631e-17
4.415000e-01,-8.993689e-17
4.425000e-01,-8.878386e-17
4.435000e-01,-8.772473e-17
4.445000e-01,-8.622489e-17
4.455000e-01,-8.392364e-17
4.465000e-01,-8.239381e-17
4.475000e-01,-8.102673e-17
4.485000e-01,-7.910632e-17
4.495000e-01,-7.811623e-17

LINEAR FIT,p(x) = slope·x + intercept
slope_fit_kin = 3.182621e-16 m²/s²/m
slope_analytical_kin = 0.000000e+00 m²/s²/m (pure shear · zero)
|slope_fit| = 3.182621e-16
sanity_pass (|fit| < 0.0001) = True
intercept_fit_kin = -3.064199e-16 m²/s²
